country,sport,count
AFG,Taekwondo,2
AHO,Sailing,1
ALG,Athletics,7
ALG,Boxing,6
ALG,Judo,2
ANZ,Aquatics,11
ANZ,Athletics,1
ANZ,Boxing,1
ANZ,Rugby,15
ANZ,Tennis,1
ARG,Aquatics,3
ARG,Athletics,5
ARG,Basketball,24
ARG,Boxing,24
ARG,Cycling,2
ARG,Equestrian,1
ARG,Fencing,5
ARG,Football,72
ARG,Hockey,64
ARG,Judo,1
ARG,Polo,10
ARG,Rowing,6
ARG,Sailing,20
ARG,Shooting,1
ARG,Taekwondo,1
ARG,Tennis,6
ARG,Volleyball,12
ARG,Weightlifting,2
ARM,Boxing,1
ARM,Weightlifting,4
ARM,Wrestling,6
AUS,Aquatics,400
AUS,Archery,2
AUS,Athletics,84
AUS,Baseball,24
AUS,Basketball,60
AUS,Boxing,4
AUS,Canoe,5
AUS,"Canoe / Kayak",33
AUS,Cycling,76
AUS,Equestrian,31
AUS,Gymnastics,1
AUS,Hockey,189
AUS,Judo,2
AUS,Rowing,135
AUS,Sailing,46
AUS,Shooting,10
AUS,Softball,60
AUS,Taekwondo,2
AUS,Tennis,9
AUS,Triathlon,5
AUS,Volleyball,4
AUS,Weightlifting,4
AUS,Wrestling,3
AUT,Aquatics,15
AUT,Athletics,7
AUT,"Canoe / Kayak",21
AUT,Cycling,3
AUT,Equestrian,6
AUT,Fencing,13
AUT,Football,13
AUT,Handball,22
AUT,Judo,5
AUT,Rowing,9
AUT,Sailing,10
AUT,Shooting,8
AUT,Tennis,2
AUT,Triathlon,1
AUT,Weightlifting,9
AUT,Wrestling,2
AZE,Boxing,6
AZE,Judo,2
AZE,Shooting,3
AZE,Weightlifting,1
AZE,Wrestling,14
BAH,Athletics,23
BAH,Sailing,4
BAR,Athletics,1
BDI,Athletics,1
BEL,Aquatics,53
BEL,Archery,51
BEL,Athletics,14
BEL,Boxing,4
BEL,Cycling,40
BEL,Equestrian,25
BEL,Fencing,44
BEL,Football,25
BEL,Gymnastics,48
BEL,Hockey,15
BEL,Judo,11
BEL,Rowing,28
BEL,Sailing,19
BEL,Shooting,16
BEL,Tennis,3
BEL,"Tug of War",8
BEL,Weightlifting,4
BEL,Wrestling,3
BER,Boxing,1
BLR,Aquatics,2
BLR,Athletics,19
BLR,Boxing,2
BLR,Canoe,8
BLR,"Canoe / Kayak",10
BLR,Cycling,1
BLR,Gymnastics,25
BLR,Judo,2
BLR,"Modern Pentathlon",1
BLR,Rowing,17
BLR,Shooting,7
BLR,Tennis,3
BLR,Weightlifting,8
BLR,Wrestling,8
BOH,Athletics,1
BOH,Fencing,5
BOH,Tennis,1
BOT,Athletics,1
BRA,Aquatics,19
BRA,Athletics,21
BRA,Basketball,60
BRA,Boxing,4
BRA,Equestrian,9
BRA,Football,127
BRA,Gymnastics,1
BRA,Judo,19
BRA,"Modern Pentathlon",1
BRA,Sailing,32
BRA,Shooting,7
BRA,Taekwondo,1
BRA,Volleyball,130
BRN,Athletics,1
BUL,Aquatics,3
BUL,Athletics,18
BUL,Basketball,24
BUL,Boxing,18
BUL,"Canoe / Kayak",28
BUL,Equestrian,5
BUL,Football,32
BUL,Gymnastics,23
BUL,Judo,3
BUL,Rowing,34
BUL,Shooting,16
BUL,Tennis,1
BUL,Volleyball,24
BUL,Weightlifting,36
BUL,Wrestling,68
BWI,Athletics,5
CAN,Aquatics,119
CAN,Athletics,84
CAN,Basketball,9
CAN,Boxing,17
CAN,Canoe,3
CAN,"Canoe / Kayak",30
CAN,Cycling,17
CAN,Equestrian,16
CAN,Football,31
CAN,Golf,1
CAN,Gymnastics,8
CAN,"Ice Hockey",8
CAN,Judo,5
CAN,Lacrosse,28
CAN,Rowing,197
CAN,Sailing,25
CAN,Shooting,24
CAN,Taekwondo,2
CAN,Tennis,2
CAN,Triathlon,2
CAN,Volleyball,2
CAN,Weightlifting,3
CAN,Wrestling,16
CHI,Athletics,2
CHI,Boxing,3
CHI,Equestrian,4
CHI,Football,18
CHI,Shooting,1
CHI,Tennis,5
CHN,Aquatics,158
CHN,Archery,19
CHN,Athletics,24
CHN,Badminton,58
CHN,Basketball,24
CHN,Boxing,8
CHN,"Canoe / Kayak",4
CHN,Cycling,7
CHN,Fencing,25
CHN,Football,16
CHN,Gymnastics,113
CHN,Handball,13
CHN,Hockey,16
CHN,Judo,20
CHN,"Modern Pentathlon",1
CHN,Rowing,26
CHN,Sailing,5
CHN,Shooting,49
CHN,Softball,15
CHN,"Table Tennis",71
CHN,Taekwondo,8
CHN,Tennis,4
CHN,Volleyball,64
CHN,Weightlifting,50
CHN,Wrestling,8
CIV,Athletics,1
CMR,Athletics,2
CMR,Boxing,2
CMR,Football,18
CMR,Weightlifting,1
COL,Athletics,2
COL,Boxing,3
COL,Cycling,4
COL,Judo,1
COL,Shooting,2
COL,Taekwondo,1
COL,Weightlifting,4
COL,Wrestling,2
CRC,Aquatics,4
CRO,Aquatics,27
CRO,Athletics,2
CRO,Basketball,12
CRO,Gymnastics,1
CRO,Handball,45
CRO,Rowing,15
CRO,Shooting,2
CRO,Taekwondo,3
CRO,Tennis,5
CRO,Weightlifting,2
CUB,Aquatics,2
CUB,Athletics,58
CUB,Baseball,111
CUB,Basketball,12
CUB,Boxing,67
CUB,"Canoe / Kayak",5
CUB,Cycling,1
CUB,Fencing,24
CUB,Judo,35
CUB,Sailing,2
CUB,Shooting,4
CUB,Taekwondo,5
CUB,Volleyball,60
CUB,Weightlifting,5
CUB,Wrestling,19
CYP,Sailing,1
CZE,Athletics,11
CZE,Boxing,1
CZE,Canoe,5
CZE,"Canoe / Kayak",13
CZE,Cycling,1
CZE,"Modern Pentathlon",2
CZE,Rowing,7
CZE,Sailing,1
CZE,Shooting,9
CZE,Tennis,5
CZE,Triathlon,1
DEN,Aquatics,17
DEN,Athletics,6
DEN,Badminton,9
DEN,Boxing,12
DEN,"Canoe / Kayak",21
DEN,Cycling,43
DEN,Equestrian,11
DEN,Fencing,6
DEN,Football,48
DEN,Gymnastics,98
DEN,Handball,46
DEN,Hockey,12
DEN,Rowing,73
DEN,Sailing,64
DEN,Shooting,27
DEN,"Table Tennis",2
DEN,Tennis,1
DEN,Weightlifting,3
DEN,Wrestling,8
DJI,Athletics,1
DOM,Athletics,3
DOM,Boxing,2
DOM,Taekwondo,1
ECU,Athletics,2
EGY,Aquatics,2
EGY,Boxing,4
EGY,Fencing,1
EGY,Judo,2
EGY,Taekwondo,1
EGY,Weightlifting,11
EGY,Wrestling,7
ERI,Athletics,1
ESP,Aquatics,67
ESP,Archery,3
ESP,Athletics,11
ESP,Basketball,36
ESP,"Basque Pelota",2
ESP,Boxing,4
ESP,Canoe,3
ESP,"Canoe / Kayak",16
ESP,Cycling,18
ESP,Equestrian,11
ESP,Fencing,1
ESP,Football,48
ESP,Gymnastics,11
ESP,Handball,59
ESP,Hockey,78
ESP,Judo,6
ESP,Polo,6
ESP,Rowing,2
ESP,Sailing,33
ESP,Shooting,3
ESP,Taekwondo,4
ESP,Tennis,15
ESP,Triathlon,1
ESP,Volleyball,2
ESP,Weightlifting,1
ESP,Wrestling,1
EST,Athletics,6
EST,Boxing,1
EST,Cycling,1
EST,Judo,3
EST,Rowing,3
EST,Sailing,7
EST,Weightlifting,7
EST,Wrestling,11
ETH,Athletics,45
EUA,Aquatics,31
EUA,Athletics,42
EUA,Boxing,6
EUA,"Canoe / Kayak",22
EUA,Cycling,20
EUA,Equestrian,34
EUA,Fencing,10
EUA,Football,19
EUA,Gymnastics,8
EUA,Hockey,11
EUA,Judo,2
EUA,Rowing,38
EUA,Sailing,6
EUA,Shooting,2
EUA,Wrestling,9
EUN,Aquatics,45
EUN,Archery,4
EUN,Athletics,29
EUN,Basketball,12
EUN,Boxing,2
EUN,"Canoe / Kayak",3
EUN,Fencing,13
EUN,Gymnastics,30
EUN,Handball,25
EUN,Judo,4
EUN,"Modern Pentathlon",4
EUN,Rowing,4
EUN,Shooting,8
EUN,Tennis,3
EUN,Volleyball,12
EUN,Weightlifting,9
EUN,Wrestling,16
FIN,Aquatics,4
FIN,Archery,6
FIN,Athletics,128
FIN,Boxing,14
FIN,"Canoe / Kayak",14
FIN,Gymnastics,99
FIN,"Modern Pentathlon",11
FIN,Rowing,16
FIN,Sailing,35
FIN,Shooting,41
FIN,Skating,2
FIN,Weightlifting,3
FIN,Wrestling,83
FRA,Aquatics,110
FRA,Archery,46
FRA,Athletics,106
FRA,Basketball,38
FRA,"Basque Pelota",2
FRA,Boxing,19
FRA,Canoe,2
FRA,"Canoe / Kayak",47
FRA,Cricket,12
FRA,Croquet,8
FRA,Cycling,136
FRA,Equestrian,64
FRA,Fencing,286
FRA,Football,30
FRA,Gymnastics,52
FRA,Handball,46
FRA,Judo,44
FRA,"Modern Pentathlon",6
FRA,Rowing,96
FRA,Rugby,63
FRA,Sailing,49
FRA,Shooting,56
FRA,"Table Tennis",3
FRA,Taekwondo,6
FRA,Tennis,30
FRA,"Tug of War",6
FRA,"Water Motorsports",1
FRA,Weightlifting,15
FRA,Wrestling,17
FRG,Aquatics,62
FRG,Athletics,67
FRG,Boxing,6
FRG,"Canoe / Kayak",14
FRG,Cycling,26
FRG,Equestrian,63
FRG,Fencing,47
FRG,Football,20
FRG,Gymnastics,2
FRG,Handball,15
FRG,Hockey,66
FRG,Judo,8
FRG,Rowing,50
FRG,Sailing,14
FRG,Shooting,11
FRG,Tennis,3
FRG,Weightlifting,7
FRG,Wrestling,9
GAB,Taekwondo,1
GBR,Aquatics,142
GBR,Archery,13
GBR,Athletics,295
GBR,Badminton,4
GBR,Boxing,53
GBR,Canoe,7
GBR,"Canoe / Kayak",9
GBR,Cricket,12
GBR,Cycling,145
GBR,Equestrian,76
GBR,Fencing,24
GBR,Football,33
GBR,Golf,2
GBR,Gymnastics,46
GBR,Hockey,126
GBR,"Jeu de paume",2
GBR,Judo,18
GBR,Lacrosse,18
GBR,"Modern Pentathlon",11
GBR,Polo,25
GBR,Rackets,10
GBR,Rowing,244
GBR,Rugby,30
GBR,Sailing,134
GBR,Shooting,95
GBR,Skating,9
GBR,Taekwondo,3
GBR,Tennis,61
